Código de barras;Código;Descrição;Categoria;Fornecedor;Marca;Preço de custo;Preço de venda;Estoque;Estoque mínimo;Unidade;Data de cadastro
CC2090;;AGULHA BOIA C/ SEDE CG / TITAN / FAN   CA-TELLI;Peças SIC;COMPANI GENERAL;CA-TELLI;7,8;14;1.0;2;UN;18/02/2023 11:57:45
980935;;AGULHA BOIA C/ SEDE CG / TITAN / FAN  - SILVER;Peças SIC;COMPANI GENERAL;SILVER;4805;16;0;2;UN;18/02/2023 11:58:22
20001;108100;AGULHA BOIA C/ SEDE DT/ RDZ / RD;Peças SIC;COMPANI GENERAL;SILVER;7,72;18;1.0;2;UN;16/07/2011 17:10:02
5LW1415000;6182470;AGULHA BOIA C/ SEDE FACTOR 125 - CA-TELLI;Peças SIC;WING GENERAL;CA-TELLI;7,1;11,5;3.0;2;UN;21/06/2023 08:37:47
10775E;;AGULHA BOIA C/SEDE CG 83 / CG 150 / TITAN - EMBUS;Peças SIC;WING GENERAL;EMBUS;8,43;14,9;3.0;2;UN;17/07/2023 16:50:18
2905000023012;;AJUSTAR AMORTECEDOR SHINERAY 175;Peças SIC;LAMOTO;LAMOTO;0;60;10.0;2;UN;13/08/2026 15:02:42
2905000021193;;ALARME ALEIN;Peças SIC;LAMOTO;LAMOTO;179;345;0;2;UN;25/02/2026 09:05:36
F2025;77;ALICATE MANG INJEÇÃO ELET;Peças SIC;FLIBEX;FLIBEX;42,58;90;10.0;2;UN;2012-08-08 16:30:13
980899;;ALINHADOR RODA FLIBEX;Peças SIC;FLIBEX;FLIBEX;69;190;6.0;2;UN;23/12/2022 08:42:22
2000000006895;;ALINHAMENTO FAZER 250 MESA INF/ SUP - BENGALA PAR;Peças SIC;ALINHAMENTO VAGNER V.NOGUEIRA;LAMOTO;150;780;0;2;UN;28/07/2025 09:32:27
2905000022817;;ALINHAMENTO MESA CG 150 INF / SUP;Peças SIC;ALINHAMENTO VAGNER V.NOGUEIRA;WAGNER;100;240;0;2;;2024-10-06 16:02:45
2000000007496;;ALINHAMENTO MESA INF BENGALA;Peças SIC;LAMOTO;;135;240;0;2;;2025-12-08 17:38:59
2000000000565;;ALINHAMENTO MESA INF FACTOR 150;Peças SIC;ALINHAMENTO VAGNER V.NOGUEIRA;LAMOTO;47,5;120;0;2;UN;2024-09-04 10:54:05
2905000021469;;ALINHAMENTO MESA INF N.MAX;Peças SIC;ALINHAMENTO VAGNER V.NOGUEIRA;LAMOTO;200;380;0;2;UN;20/03/2026 16:48:29
2000000000572;;ALINHAMENTO MESA INF TITAN 150 MIX - FAROL RED;Peças SIC;PÇS PEREIRA USADAS;HONDA ORIGINAL;110;140;0;2;UN;14/10/2024 17:43:33
2905000018605;;ALINHAMENTO MESA INF/ SUP SUZUKI YES;Peças SIC;LAMOTO;LAMOTO;0;300;0;2;UN;29/10/2025 15:45:34
2000000001869;;ALINHAMENTO MESA INF/ SUP TITAN 160;Peças SIC;LAMOTO;HONHA;110;240;0;2;UN;20/11/2024 12:15:30
990368;;ALINHAMENTO QUADRO FAN 2023;Peças SIC;ALINHAMENTO VAGNER V.NOGUEIRA;ALNHAMENTO WAGNER;900;1800;0;2;UN;2024-08-07 09:55:04
2905000018674;;ALINHAMENTO QUADRO FAZER 250;Peças SIC;ALINHAMENTO VAGNER V.NOGUEIRA;LAMOTO;550;900;0;2;UN;2025-04-11 08:45:16
2905000020882;;ALINHAMENTO RODA DIANT ( MAGINA );Peças SIC;LAMOTO;LAMOTO;150;280;1.0;2;UN;2026-04-02 15:10:17
2000000005331;;ALINHAMENTO RODA DIANT ( RAIO );Peças SIC;LAMOTO;LAMOTO;31,25;120;4.0;2;UN;2023-04-05 14:34:28
